0, 7, 1, 0, 2, 3, 1
2, 5, 5, 1, 2, 7, 3
1, 6, 3, 6, 4, 4, 1
7, 5, 2, 2, 6, 4, 3
1, 6, 7, 2, 5, 7, 6
5, 0, 2, 1, 1, 2, 6
0, 7, 5, 6, 7, 4, 4
1, 6, 0, 0, 0, 5, 2
6, 4, 1, 7, 7, 1, 5
5, 4, 1, 7, 0, 6, 3
3, 0, 5, 0, 1, 7, 7
5, 4, 0, 2, 2, 6, 5
1, 2, 6, 7, 3, 4, 1
1, 1, 5, 5, 0, 6, 0
6, 4, 6, 4, 6, 5, 0
4, 3, 7, 2, 7, 2, 3
2, 5, 1, 7, 1, 4, 2
6, 2, 2, 1, 2, 3, 1
2, 0, 2, 2, 7, 7, 3
0, 1, 6, 2, 6, 3, 0
4, 6, 5, 2, 7, 2, 2
1, 1, 2, 6, 3, 4, 2
4, 3, 2, 0, 1, 5, 4
5, 6, 5, 1, 3, 4, 3
4, 1, 7, 5, 0, 2, 5
3, 5, 3, 0, 2, 5, 4
0, 1, 1, 1, 3, 7, 5
3, 6, 1, 7, 6, 5, 5
6, 3, 2, 2, 1, 4, 2
2, 7, 2, 5, 7, 4, 6
1, 4, 7, 7, 5, 5, 2
1, 4, 1, 1, 2, 3, 6
5, 0, 1, 1, 5, 7, 4
2, 6, 3, 2, 2, 1, 2
5, 2, 2, 1, 1, 7, 1
0, 5, 7, 6, 3, 2, 7
0, 6, 4, 1, 0, 0, 0
1, 6, 0, 1, 7, 4, 7
5, 7, 3, 4, 7, 7, 4
7, 3, 1, 5, 4, 1, 4
